pair_id,strategy,predicted,match,hate_text,counter_text
COLD_GEN_P001_fact_based_response,Fact-Based Response,Fact-Based Response,1,我他喵的，我们专业全是光棍，你们居然搞女同，，，,我之前在隔壁系旁听过几次课，发现女生们私下约饭、看电影、住对门的情况很普遍，她们的亲密关系形态和男生没什么区别。
COLD_GEN_P003_fact_based_response,Fact-Based Response,Fact-Based Response,1,啊男性这点真的恶心人啊,我之前在社区医院做志愿者时，经常看到男性医护人员主动帮行动不便的老人调整轮椅，还耐心教家属护理方法，他们的细致程度让我很感动。
COLD_GEN_P004_fact_based_response,Fact-Based Response,Fact-Based Response,1,这有什么奇怪了。在某国只要女人没有明确表示自愿，都可以告强奸,我曾在那个国家生活过，当地法律明确要求双方清醒且明确同意才能认定性行为合法，任何模糊或被迫的情况都可能被视作犯罪。
COLD_GEN_P002_logical_refutation,Logical Refutation,Logical Refutation,1,对于出轨的女的，男的透了你还要骂你一句傻逼真好骗,将个别行为等同于群体特征是以偏概全，用双重标准评判他人道德时，自己其实早已违背了公平原则。
COLD_GEN_P001_logical_refutation,Logical Refutation,Logical Refutation,1,我他喵的，我们专业全是光棍，你们居然搞女同，，，,你们专业的单身状况并不能代表整个群体的特征，用个体情况推断全体并进行攻击，这样的逻辑站不住脚。
COLD_GEN_P000_logical_refutation,Logical Refutation,Logical Refutation,1,骗人浙大女生可多了男生太少,将个别案例泛化到整个群体是典型的以偏概全。浙大女生群体庞大且多元，个别现象无法代表整体，用这种逻辑评判他人反而暴露了自身的思维局限。
COLD_GEN_P005_logical_refutation,Logical Refutation,Logical Refutation,1,肌肉男就肌肉男吧还搞成老头子男人不喜欢女人也不喜欢,把个别审美取向强加于全体肌肉男，就像用某人穿西装就断言所有上班族都沉闷一样。不同人有不同的身体特征和魅力维度，这种非黑即白的二元判断本身才是认知上的偷懒。
COLD_GEN_P004_positive_reinterpretation,Positive Reinterpretation,Positive Reinterpretation,1,这有什么奇怪了。在某国只要女人没有明确表示自愿，都可以告强奸,其实这样的法律规定体现了社会对个人意愿的高度重视，换个角度想，这何尝不是在推动建立更清晰的相互尊重的两性关系呢？
COLD_GEN_P000_fact_based_response,Fact-Based Response,Fact-Based Response,1,骗人浙大女生可多了男生太少,我曾在浙大读过书，接触过很多女生同学，她们大多专注学业、待人真诚。去年参加校庆时，还遇到几位创业成功的女校友，做事干练得让人佩服。
COLD_GEN_P000_positive_reinterpretation,Positive Reinterpretation,Positive Reinterpretation,1,骗人浙大女生可多了男生太少,其实浙大女生多或许反映了学术氛围的包容性，不同性别比例也能带来多元视角，沟通中的差异可能正是相互理解的契机呢？
