id,hate_text,platform,domain,expression,num_attacked,sen_hate,Q1 Target,Q1 Argument,Q1 Group,Q1 hateful,Q2 Target,Q2 Argument,Q2 Group,Q2 hateful,Q3 Target,Q3 Argument,Q3 Group,Q3 hateful,Q4 Target,Q4 Argument,Q4 Group,Q4 hateful,Q5 Target,Q5 Argument,Q5 Group,Q5 hateful,source
CCL_3346,话是这样说，但是像我们这样的普信男国女又看不上 不但看不上 还大加嘲讽 结婚彩礼不算车房都要几十万 有些郭楠在部分国女眼里早就被开除人籍了 只有黑皮白皮才是人上人,zhihu,race,1,2,1,普信男,国女又看不上,Sexism,hate,有些郭楠,在部分国女眼里早就被开除人籍了,Sexism,hate,黑皮白皮,才是人上人,Racism,hate,,,,,,,,,CCL2025
CCL_1646,我190+，但是这种墓垢还是铁鲨鼻,tieba,gender,1,1,1,墓垢,铁鲨鼻,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2076,笑死，要是刷男女的没人有意见，真就高贵的同性恋呗??,zhihu,lgbt,2,1,1,同性恋,高贵,LGBTQ,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_4460,居然没有一个拳师冲。,tieba,gender,2,1,1,拳师,居然没有一个拳师冲,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1460,征尼大将军,tieba,race,2,1,1,尼,征尼大将军,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_3649,非洲人踢球猛，打篮球更猛，跑步无敌。可是有什么用呢？？？根本没有办法改变国家民族，让大部分人生活的更好。,tieba,race,2,1,1,非洲人,根本没有办法改变国家民族，让大部分人生活的更好,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1313,举个例子吧，一家公司要招个保安，结果有9个女人和1个男的应聘。但这家公司能拿出至少十个理由来拒绝掉女的，最终只招了那男人,tieba,gender,3,1,1,女的,这家公司能拿出至少十个理由来拒绝掉女的,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2241,别埋汰失足女，跟过黑人的那叫人么，跟动物有啥区别,zhihu,race,1,2,1,跟过黑人的,那叫人么,"Sexism, Racism",hate,,,,,,,,,,,,,,,,,CCL2025
CCL_0318,你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透,tieba,race,1,1,1,你的虫爹,把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5645,哈哈哈哈，完全是调侃，男人味是指身上气味大，器大活好是女人认为的，我就顺口这么一说,zhihu,race,2,2,1,男人味,身上气味大,Racism,hate,女人,器大活好是女人认为的,"Sexism, Racism",hate,,,,,,,,,,,,,CCL2025
CCL_0423,我广东人，说实话广东人和广西人，总体来说的确是丑人多。如果你去过四川，东北这些地方玩过，你会发现这几个地方的平均颜值高广东几个档次,zhihu,region,1,1,1,广东人和广西人,丑人多,Region,hate,广东,这几个地方的平均颜值高广东几个档次,Region,hate,,,,,,,,,,,,,CCL2025
CCL_3761,本东北人表示的确如此，河南黑吉山东毕竟被黑一个是穷一个是毕竟知名，江西这几年彩礼也风口，至于青海这种地方，你问他青海属于西藏还是新疆，很多人的确会谨慎地二选一的。,zhihu,region,3,1,1,河南黑吉山东,被黑,Region,hate,江西,彩礼也风口,Region,hate,青海,你问他青海属于西藏还是新疆，很多人的确会谨慎地二选一的,Region,hate,,,,,,,,,CCL2025
CCL_4683,要把一滴血原则带到中国来,zhihu,race,2,1,1,一滴血原则,带到中国来,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_2005,我说实话，我膈应，我觉得我的思想还是偏保守，再者我认为讨厌黑人不算是思想保守，只是看见了很多事情之后的一种总结,zhihu,race,1,1,1,黑人,膈应,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_7138,答主是大部分人的想法，很多人潜意识都是不接受的，只是很多人都不敢去表达对于同性恋的态度，随着时代发展，同性恋也越来越敢发声了，我们不能对同性恋有任何意见，有意见就是歧视。同性恋越来越会道德绑架了！,zhihu,lgbt,2,1,1,同性恋,越来越会道德绑架了,LGBTQ,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_7434,你知道你们的主子是怎么评价你们的嘛 “chinese women's pussy smells like dead fish”😆声名远播了属于是，给你们取个新名字吧dead fish girl怎么样🤭,zhihu,race,1,1,1,你们,dead fish girl,Sexism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_6295,为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅,zhihu,race,3,1,1,世界女权,故意抹黑中国女性,"Region, Sexism",hate,所有中国女性,背锅,"Region, Sexism",hate,,,,,,,,,,,,,CCL2025
CCL_0927,广州就是黑河南、黑北方的总部,zhihu,region,2,1,1,广州,黑河南、黑北方的总部,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_5016,举报外教从我做起，电商的发展也会把一些垃圾去除，加速才是我们想要的。,zhihu,race,1,1,1,外教,举报外教从我做起,Racism,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_1675,西安本地作风彪悍的大多是东边某省逃荒过来的后裔,zhihu,region,2,1,1,西安本地作风彪悍的,东边某省逃荒过来的后裔,Region,hate,,,,,,,,,,,,,,,,,CCL2025
CCL_3235,好家伙，间接黑了一波北京（玩笑）,zhihu,region,3,1,1,北京,间接黑了一波北京（玩笑）,Region,hate,,,,,,,,,,,,,,,,,CCL2025
