id,source,domain,hate_text
COLD_GEN_P000,COLD,gender,骗人浙大女生可多了男生太少
COLD_GEN_P001,COLD,gender,我他喵的，我们专业全是光棍，你们居然搞女同，，，
COLD_GEN_P002,COLD,gender,对于出轨的女的，男的透了你还要骂你一句傻逼真好骗
COLD_GEN_P003,COLD,gender,啊男性这点真的恶心人啊
COLD_GEN_P004,COLD,gender,这有什么奇怪了。在某国只要女人没有明确表示自愿，都可以告强奸
COLD_GEN_P005,COLD,gender,肌肉男就肌肉男吧还搞成老头子男人不喜欢女人也不喜欢
COLD_GEN_P006,COLD,gender,男人任何情况下都不能打女人，如果这女人杀了你朋友，马上要杀你你打是不打，所以这句话就是毒鸡汤。
COLD_GEN_P007,COLD,gender,我觉得你做的没问题，那么假如你回国了，能不能如实告诉打算做你男朋友的男性你在留学时很喜欢和别人玩一玩？万一男的不喜欢呢？你要是不告诉人家是不是就太婊了？
COLD_GEN_P008,COLD,gender,虽然不支持裸眼鉴GAY，但不得不说，身边有很多gay蜜，他们身上是有一些共同的特点的：1。
COLD_GEN_P009,COLD,gender,这么一说，那男生的追问其实也能理解了。虽然挂别人的确不好。
COLD_GEN_P010,COLD,gender,作为女性，我是比较希望强奸犯能被判十年以上的。
COLD_GEN_P011,COLD,gender,不是富二代又不差钱的，男方及其亲属会希望妻子全职太太，因为男方赚的多就必然忙，996都是客气，总要有人顾家。
COLD_GEN_P012,COLD,gender,我是你哥的话我会打到你吐血，没出息的家伙，没个男人样，留不住女人怪谁？
COLD_GEN_P013,COLD,gender,13亿人，一半妇女被强奸过就有3-4亿人？印度男女比例这么失衡么？我数学学的不好你不要骗我。
COLD_GEN_P014,COLD,gender,娱乐圈最恶心得两个女人
COLD_GEN_P015,COLD,gender,女人臭矫情不能批评，只能批评男人懒癌？这也叫平权？！我这是在看科幻片吗？
COLD_GEN_P016,COLD,gender,不把女人的青春当青春。真恶心你
COLD_GEN_P017,COLD,gender,什么叫文人也是男人所以就可以理解了？男人都是渣男？
COLD_GEN_P018,COLD,gender,男性穿着暴露，女性看到了是性骚扰女性； 女性穿着暴露，男性看到了还是性骚扰女性。[捂嘴]
COLD_GEN_P019,COLD,gender,不都得看人品吗？独生子女不管爹妈可劲扣养老钱的也不罕见啊
COLD_GEN_P020,COLD,gender,我天啊一定要打听好这个女人的地址，悄悄发个快递给她说这恶心的男人的病
COLD_GEN_P021,COLD,gender,我觉得裴奎山不是因为得不到而黑化的，他是看不起铜匠，在自己喜欢的女人和铜匠睡过以后他不平衡，他开始嫌她恶心了。
COLD_GEN_P022,COLD,gender,如果当时男方有录音或视频呢？能证明女方没有反抗？
COLD_GEN_P023,COLD,gender,看了一肚子火，拐卖妇女罪就被洗白成了感动中国了，就不打算追究责任了，而是这样放任下去，我不敢想象她到底经历了些什么。她有爱，可惜她的身边全是畜生。
COLD_GEN_P024,COLD,gender,男人要过了30没钱没本事没魅力又长得丑，那就不只是掉价的问题了。（微笑）
COLD_GEN_P025,COLD,gender,女生应该会好点吧，亚裔男性可能受到的歧视更多点。
COLD_GEN_P026,COLD,gender,可是好像我国法律目前认为强奸男生不犯法吧
COLD_GEN_P027,COLD,gender,为什么鬼是女的？男鬼呢？
COLD_GEN_P028,COLD,gender,都有媚外的女人
COLD_GEN_P029,COLD,gender,不是说恶心肌肉男，而是恶心露肉这种行为方式
COLD_GEN_P030,COLD,gender,酒馆之前打游戏碰到个女粉，女粉说她躺了，酒馆说，我就蹭蹭，不进去，可以吗。个人觉得这个更恶心。我是男生，我也觉得恶心。纯直男
COLD_GEN_P031,COLD,gender,男人出轨呢？要不要毒死男的？
COLD_GEN_P032,COLD,gender,对啊 搞得男女一起吃饭男性不请客就显得没有气概 可是在其他方面男性对女性提出要求就是直男癌或者大男子主义过剩
COLD_GEN_P033,COLD,gender,人不会专捡丑的找呀，出轨跟女人基本没关系，是男人本身道德意识不强，自己把持不住了。
COLD_GEN_P034,COLD,gender,我看到说 看到肌肉男犯恶心 的犯恶心
COLD_GEN_P035,COLD,gender,我这破号说过类似言论，应该没你说的具体，可我却收到了直男癌和歧视女性的帽子，看来说话还是得有发言权啊
COLD_GEN_P036,COLD,gender,打女人一定不对？如果哪个女人拐卖儿童，把你小孩偷了，正准备卖被你发现了，你会不会打呢？还是会冷静的说： 女士，你不可以这样，这样是不对滴 ？？
COLD_GEN_P037,COLD,gender,骑洋人对比被洋人骑，你觉得那个好听？而且骑洋人的最少挑点好看的，被骑的那是什么牲口都可以骑啊！如有男的找黑妹，其他任何男的都不会说他争光什么的，有的只是恶趣味
