id,domain,hate_text
COLD_GEN_P022,gender,如果当时男方有录音或视频呢？能证明女方没有反抗？
COLD_GEN_P000,gender,骗人浙大女生可多了男生太少
COLD_GEN_P047,gender,简而言之，可以对男性开这种玩笑，不能对女性开。 另外，后面那个例子根本是直接的歧视而完全看不出玩笑的意味，不要随便就类比到一起
COLD_GEN_P004,gender,这有什么奇怪了。在某国只要女人没有明确表示自愿，都可以告强奸
COLD_RAC_P080,race,是答主先不靠谱的。现在只知道刘强东曾以强奸的罪名被捕，根本不知道女主是谁。你确定报案的不是门口扫地的黑人大妈？
CCL_1037,race,第一句话，中国女性是唯一被批评的女性群体。这真是我见过最长的一根杆子。
CCL_6091,race,默滚出中国就行了。
COLD_RAC_P097,race,奴隶坐船体弱的死一部分，长的丑的死一部分，剩下的女黑奴和白人奴隶主的后代就是今天的美国黑人！
COLD_REG_P146,region,这东北人偷香蕉被发现，然后还是拿个大砍刀装逼，这偷窃变成抢劫了。这广西大叔那斧头实际上自卫行为。明显被对方拿着长刀欺负到头上了才自卫的
COLD_REG_P116,region,你说台湾人如何如何的时候和地域黑有什么区别？讲讲道理好不好，什么地方都有持两派意见者，一棍子打死没有帮助
COLD_REG_P104,region,现在还是有很多人觉得河南人跟井盖儿的关系诡异……[小情绪]
COLD_REG_P109,region,北京人的地域歧视只会和北京人表现出来，不会直接对外地人表达的
