pair_id,id,source,domain,condition,strategy,hate_text,counter_text,parse_ok,model
COLD_GEN_P001_positive_reinterpretation,COLD_GEN_P001,COLD,gender,B_strategy_controlled,Positive Reinterpretation,我他喵的，我们专业全是光棍，你们居然搞女同，，，,每个人都有自己的生活方式和选择，用理解和尊重代替偏见，也许我们能发现更多彼此之间的共同点。,True,Qwen/Qwen3-32B
COLD_GEN_P002_positive_reinterpretation,COLD_GEN_P002,COLD,gender,B_strategy_controlled,Positive Reinterpretation,对于出轨的女的，男的透了你还要骂你一句傻逼真好骗,每个人在感情中都可能犯错，用辱骂和贬低并不能解决问题，也许我们更该思考如何彼此理解、共同成长。,True,Qwen/Qwen3-32B
COLD_GEN_P000_positive_reinterpretation,COLD_GEN_P000,COLD,gender,B_strategy_controlled,Positive Reinterpretation,骗人浙大女生可多了男生太少,每个学校都有不同特点，浙大女生多也许正体现了多元包容的氛围，我们更应关注彼此的品德与能力，而非人数差异。,True,Qwen/Qwen3-32B
COLD_GEN_P000_fact_based_response,COLD_GEN_P000,COLD,gender,B_strategy_controlled,Fact-Based Response,骗人浙大女生可多了男生太少,我身边就有浙大的同学，她们认真努力，从不靠骗人。男女比例的问题更不该用偏见和刻板印象来概括。,True,Qwen/Qwen3-32B
COLD_GEN_P001_logical_refutation,COLD_GEN_P001,COLD,gender,B_strategy_controlled,Logical Refutation,我他喵的，我们专业全是光棍，你们居然搞女同，，，,用个别人的行为去定义整个群体是不合理的，每个人都有自己的生活方式和选择，不能因为少数人的存在就对整个群体做出武断评价。,True,Qwen/Qwen3-32B
COLD_GEN_P001_fact_based_response,COLD_GEN_P001,COLD,gender,B_strategy_controlled,Fact-Based Response,我他喵的，我们专业全是光棍，你们居然搞女同，，，,我身边有不少女生是单身，但她们都是独立、优秀的个体，和性取向无关。我们专业也有不少女生找到了合适的伴侣，关键还是看人，而不是性别。,True,Qwen/Qwen3-32B
COLD_GEN_P000_logical_refutation,COLD_GEN_P000,COLD,gender,B_strategy_controlled,Logical Refutation,骗人浙大女生可多了男生太少,将个别行为归咎于整个群体是典型的以偏概全，这种逻辑漏洞不仅不公正，也无助于理性讨论。每个个体都应被独立看待，而不是被贴上群体标签。,True,Qwen/Qwen3-32B
COLD_GEN_P002_logical_refutation,COLD_GEN_P002,COLD,gender,B_strategy_controlled,Logical Refutation,对于出轨的女的，男的透了你还要骂你一句傻逼真好骗,将个别行为归咎于整个群体是典型的以偏概全，一个人的错误行为不能代表整个群体的特性，用这种刻板印象去辱骂他人，本身就是一种不理智的偏见。,True,Qwen/Qwen3-32B
COLD_GEN_P003_positive_reinterpretation,COLD_GEN_P003,COLD,gender,B_strategy_controlled,Positive Reinterpretation,啊男性这点真的恶心人啊,每个人都有自己的特点和价值，如果我们换一种更包容的视角来看待彼此，或许能减少很多不必要的误解和偏见。,True,Qwen/Qwen3-32B
COLD_GEN_P003_fact_based_response,COLD_GEN_P003,COLD,gender,B_strategy_controlled,Fact-Based Response,啊男性这点真的恶心人啊,我身边也有很多有责任感、善良体贴的男性朋友，他们认真工作、尊重他人，和性别无关，人品才是关键。,True,Qwen/Qwen3-32B
COLD_GEN_P003_logical_refutation,COLD_GEN_P003,COLD,gender,B_strategy_controlled,Logical Refutation,啊男性这点真的恶心人啊,将个别男性行为概括为整个群体特征，是一种典型的以偏概全逻辑谬误。个体行为不能代表全体男性，这样的推理既不公正也不合理。,True,Qwen/Qwen3-32B
COLD_GEN_P002_fact_based_response,COLD_GEN_P002,COLD,gender,B_strategy_controlled,Fact-Based Response,对于出轨的女的，男的透了你还要骂你一句傻逼真好骗,我和身边的朋友中也有经历过感情背叛的人，无论是男性还是女性，都承受过巨大的痛苦。把责任归咎于一方并用侮辱性语言攻击，只会加深伤害，无法解决问题。,True,Qwen/Qwen3-32B
COLD_GEN_P004_positive_reinterpretation,COLD_GEN_P004,COLD,gender,B_strategy_controlled,Positive Reinterpretation,这有什么奇怪了。在某国只要女人没有明确表示自愿，都可以告强奸,每个国家的法律都有其独特的文化背景和价值观，我们可以尝试理解这种规定背后的保护意图，而不是简单地将其视为极端或不合理。,True,Qwen/Qwen3-32B
COLD_GEN_P004_logical_refutation,COLD_GEN_P004,COLD,gender,B_strategy_controlled,Logical Refutation,这有什么奇怪了。在某国只要女人没有明确表示自愿，都可以告强奸,这样的说法存在以偏概全的谬误，将个别国家的法律规定直接等同于该国所有人的观念或行为，忽略了法律与社会现实之间的差异，也抹杀了个体之间的多样性。,True,Qwen/Qwen3-32B
COLD_GEN_P004_fact_based_response,COLD_GEN_P004,COLD,gender,B_strategy_controlled,Fact-Based Response,这有什么奇怪了。在某国只要女人没有明确表示自愿，都可以告强奸,我认识一些在那个国家生活的朋友，他们告诉我，当地法律强调双方同意，但并未如传言所说如此绝对。法律的制定是为了保护所有人，而不是制造恐慌。,True,Qwen/Qwen3-32B
COLD_GEN_P005_logical_refutation,COLD_GEN_P005,COLD,gender,B_strategy_controlled,Logical Refutation,肌肉男就肌肉男吧还搞成老头子男人不喜欢女人也不喜欢,一个人的外貌特征或性别取向并不能代表其全部，更不能成为他人对其整体评价的依据，这种以偏概全的逻辑本身就是对个体的不公正概括。,True,Qwen/Qwen3-32B
COLD_GEN_P005_positive_reinterpretation,COLD_GEN_P005,COLD,gender,B_strategy_controlled,Positive Reinterpretation,肌肉男就肌肉男吧还搞成老头子男人不喜欢女人也不喜欢,每个人都有自己独特的魅力，年龄和外貌不应成为评价一个人价值的标准。也许我们可以用更包容的眼光，看到不同的人身上不同的闪光点。,True,Qwen/Qwen3-32B
COLD_GEN_P006_logical_refutation,COLD_GEN_P006,COLD,gender,B_strategy_controlled,Logical Refutation,男人任何情况下都不能打女人，如果这女人杀了你朋友，马上要杀你你打是不打，所以这句话就是毒鸡汤。,将极端情况作为普遍规则的例外来否定整个原则，是一种典型的以偏概全。保护女性不被暴力侵害是基本共识，不能因为假设的极端情境就否定这一普遍价值。,True,Qwen/Qwen3-32B
COLD_GEN_P005_fact_based_response,COLD_GEN_P005,COLD,gender,B_strategy_controlled,Fact-Based Response,肌肉男就肌肉男吧还搞成老头子男人不喜欢女人也不喜欢,我身边有不少肌肉男朋友，他们有人是健身教练，有人是普通上班族，性格各异，但都和普通人一样有家庭、有朋友。我觉得一个人是否讨喜，更多取决于他的为人，而不是外表或性取向。,True,Qwen/Qwen3-32B
COLD_GEN_P006_positive_reinterpretation,COLD_GEN_P006,COLD,gender,B_strategy_controlled,Positive Reinterpretation,男人任何情况下都不能打女人，如果这女人杀了你朋友，马上要杀你你打是不打，所以这句话就是毒鸡汤。,在面对极端情境时，暴力往往不是解决问题的方式，我们可以通过对话和法律来寻求公正。将性别对立作为判断标准，反而会模糊了问题的本质，让我们一起关注如何用理性化解冲突，而不是强化标签。,True,Qwen/Qwen3-32B
